,Release Date,Actual
0,2019-04-01,52.8
1,2019-03-01,50.1
2,2019-02-01,50.9
3,2018-12-28,51.7
4,2018-12-03,52.6
5,2018-11-01,51.3
6,2018-10-01,50.0
7,2018-09-03,48.9
8,2018-08-01,48.1
9,2018-07-02,49.5
10,2018-06-01,49.8
11,2018-05-03,51.3
12,2018-04-02,50.6
13,2018-03-01,50.2
14,2018-02-01,52.1
15,2017-12-28,52.0
16,2017-12-01,51.5
17,2017-11-01,51.1
