,Date,Close,Vol
0,2017-08-04,60537.0,2430060.0
1,2017-08-07,60585.0,1896656.0
2,2017-08-08,60363.0,1848649.0
3,2017-08-09,60531.0,2066914.0
4,2017-08-10,60634.0,2207797.0
5,2017-08-11,60354.0,2167477.0
6,2017-08-14,60322.0,1806334.0
7,2017-08-15,60123.0,1829394.0
8,2017-08-16,59803.0,1978029.0
9,2017-08-17,59647.0,2073867.0
10,2017-08-18,59379.0,1859570.0
11,2017-08-21,59507.0,1433331.0
12,2017-08-22,59429.0,1551223.0
13,2017-08-23,59384.0,1445474.0
14,2017-08-24,59472.0,1352839.0
15,2017-08-25,58856.0,1877946.0
16,2017-08-28,58710.0,1527098.0
17,2017-08-29,59100.0,1846488.0
18,2017-08-30,58799.0,1995115.0
19,2017-08-31,58224.0,1911434.0
20,2017-09-01,57701.0,2408265.0
21,2017-09-04,58042.0,1308311.0
22,2017-09-05,57710.0,2587934.0
23,2017-09-06,57545.0,1779583.0
24,2017-09-07,57057.0,1993423.0
25,2017-09-08,57453.0,1924069.0
26,2017-09-11,58246.0,139286.0
27,2017-09-12,58690.0,262927.0
28,2017-09-13,58915.0,267539.0
29,2017-09-14,58516.0,319243.0
30,2017-09-15,58608.0,375717.0
31,2017-09-18,59027.0,381503.0
32,2017-09-19,59060.0,582784.0
33,2017-09-20,59048.0,1280920.0
34,2017-09-21,58807.0,2099205.0
35,2017-09-22,58320.0,1730720.0
36,2017-09-25,58378.0,2160628.0
37,2017-09-26,58622.0,2260126.0
38,2017-09-27,58991.0,2577904.0
39,2017-09-28,58722.0,2447750.0
40,2017-09-29,58251.0,2231242.0
41,2017-10-02,58700.0,1754838.0
42,2017-10-03,58705.0,1848847.0
43,2017-10-04,58470.0,1716863.0
44,2017-10-05,58460.0,1639127.0
45,2017-10-06,58916.0,2334639.0
46,2017-10-09,59050.0,1410715.0
47,2017-10-10,58712.0,1725389.0
48,2017-10-11,58522.0,1697798.0
49,2017-10-12,58368.0,1388344.0
50,2017-10-13,57841.0,2166200.0
51,2017-10-16,57976.0,1447913.0
52,2017-10-17,57938.0,1634840.0
53,2017-10-18,58074.0,1462666.0
54,2017-10-19,57890.0,2108575.0
55,2017-10-20,58079.0,1693802.0
56,2017-10-23,58139.0,1134308.0
57,2017-10-24,58217.0,2037250.0
58,2017-10-25,58314.0,1757429.0
59,2017-10-26,58410.0,2010051.0
60,2017-10-27,58588.0,3239015.0
61,2017-10-30,58483.0,1784232.0
62,2017-10-31,58805.0,2050918.0
63,2017-11-01,58771.0,1983607.0
64,2017-11-02,58621.0,1650714.0
65,2017-11-03,59502.0,3109183.0
66,2017-11-07,59753.0,2878499.0
67,2017-11-08,59628.0,2614006.0
68,2017-11-09,59684.0,2262273.0
69,2017-11-10,59583.0,1814078.0
70,2017-11-13,59719.0,2064580.0
71,2017-11-14,60595.0,2996711.0
72,2017-11-15,60560.0,2423799.0
73,2017-11-16,60004.0,2279500.0
74,2017-11-17,59358.0,2194236.0
75,2017-11-20,59652.0,2093611.0
76,2017-11-21,59484.0,1686629.0
77,2017-11-22,58780.0,2055105.0
78,2017-11-23,58734.0,1439112.0
79,2017-11-24,58604.0,1560670.0
80,2017-11-27,58722.0,1702566.0
81,2017-11-28,58610.0,1582383.0
82,2017-11-29,58845.0,1836996.0
83,2017-11-30,58642.0,2143963.0
84,2017-12-01,59075.0,2233245.0
85,2017-12-04,58972.0,1650074.0
86,2017-12-05,58881.0,1447846.0
87,2017-12-06,59371.0,1760728.0
88,2017-12-07,59312.0,1627164.0
89,2017-12-08,59251.0,1867604.0
90,2017-12-11,59800.0,106546.0
91,2017-12-12,60060.0,103909.0
92,2017-12-13,59365.0,156267.0
93,2017-12-14,59480.0,199098.0
94,2017-12-15,59499.0,181268.0
95,2017-12-18,59351.0,274616.0
96,2017-12-19,59450.0,426129.0
97,2017-12-20,59370.0,852875.0
98,2017-12-21,59118.0,1413811.0
99,2017-12-22,58999.0,1204684.0
100,2017-12-25,58583.0,1014440.0
101,2017-12-26,58258.0,1657458.0
102,2017-12-27,58331.0,2020538.0
103,2017-12-28,58103.0,1506782.0
104,2017-12-29,58100.0,1174379.0
105,2018-01-03,57790.0,950952.0
106,2018-01-04,57390.0,917429.0
107,2018-01-05,57519.0,769781.0
108,2018-01-09,57519.0,1492119.0
109,2018-01-10,57514.0,1581036.0
110,2018-01-11,56923.0,1535297.0
111,2018-01-12,57086.0,1603542.0
112,2018-01-15,56802.0,1297266.0
113,2018-01-16,56997.0,1368923.0
114,2018-01-17,57214.0,2051618.0
115,2018-01-18,56947.0,1510633.0
116,2018-01-19,57135.0,1143423.0
117,2018-01-22,56880.0,1008606.0
118,2018-01-23,56712.0,1531872.0
119,2018-01-24,56520.0,1358935.0
120,2018-01-25,56300.0,2149562.0
121,2018-01-26,56600.0,1606016.0
122,2018-01-29,56672.0,1688136.0
123,2018-01-30,56730.0,2172105.0
124,2018-01-31,56526.0,1615013.0
125,2018-02-01,56214.0,1631914.0
126,2018-02-02,56843.0,2216142.0
127,2018-02-05,57482.0,2003713.0
128,2018-02-06,57159.0,2742518.0
129,2018-02-07,57890.0,2401116.0
130,2018-02-08,58685.0,3308671.0
131,2018-02-09,58646.0,3315711.0
132,2018-02-12,58074.0,2133292.0
133,2018-02-13,57844.0,1762979.0
134,2018-02-14,56940.0,3083413.0
135,2018-02-15,56626.0,2091484.0
136,2018-02-16,56576.0,1531878.0
137,2018-02-19,56621.0,970898.0
138,2018-02-20,56744.0,1645831.0
139,2018-02-21,56901.0,1364477.0
140,2018-02-22,56632.0,1287774.0
141,2018-02-26,55818.0,1699808.0
142,2018-02-27,56394.0,1895138.0
143,2018-02-28,56439.0,1747077.0
144,2018-03-01,56910.0,2737646.0
145,2018-03-02,56885.0,2383399.0
146,2018-03-05,56487.0,2084330.0
147,2018-03-06,56752.0,2004320.0
148,2018-03-07,56828.0,1731769.0
149,2018-03-09,56674.0,1287121.0
150,2018-03-12,57520.0,258704.0
151,2018-03-13,57680.0,412550.0
152,2018-03-14,57751.0,1061869.0
153,2018-03-15,58070.0,2221692.0
154,2018-03-16,58082.0,2165341.0
155,2018-03-19,58420.0,1866807.0
156,2018-03-20,58094.0,1777925.0
157,2018-03-21,57424.0,2016082.0
158,2018-03-22,57820.0,1813416.0
159,2018-03-23,57808.0,1813363.0
160,2018-03-26,57742.0,2141298.0
161,2018-03-27,58098.0,1736104.0
162,2018-03-28,58269.0,1759058.0
163,2018-03-29,57792.0,1710020.0
164,2018-03-30,57666.0,1193110.0
165,2018-04-02,58021.0,1314452.0
166,2018-04-03,58084.0,1374662.0
167,2018-04-04,57946.0,1913758.0
168,2018-04-05,58206.0,1526528.0
169,2018-04-06,58669.0,1921158.0
170,2018-04-09,61199.0,5458502.0
171,2018-04-10,63625.0,5062105.0
172,2018-04-11,63146.0,4956150.0
173,2018-04-12,62512.0,3675408.0
174,2018-04-13,62553.0,2343131.0
175,2018-04-16,61625.0,2542055.0
176,2018-04-17,62024.0,2482343.0
177,2018-04-18,61267.0,2003597.0
178,2018-04-19,61346.0,1770065.0
179,2018-04-20,61872.0,1378272.0
180,2018-04-23,62255.0,2202572.0
181,2018-04-24,62046.0,1523773.0
182,2018-04-25,62803.0,1861211.0
183,2018-04-26,63155.0,2390015.0
184,2018-04-27,62517.0,1776417.0
185,2018-04-28,62628.0,427777.0
186,2018-04-30,63286.0,1024435.0
187,2018-05-02,64410.0,1300776.0
188,2018-05-03,63384.0,1819589.0
189,2018-05-04,62835.0,2174115.0
190,2018-05-07,63279.0,1239819.0
191,2018-05-08,63507.0,1948219.0
192,2018-05-10,62003.0,2110485.0
193,2018-05-11,62228.0,1546722.0
194,2018-05-14,62123.0,1173020.0
195,2018-05-15,62593.0,2507983.0
196,2018-05-16,62013.0,2021118.0
197,2018-05-17,62441.0,1484509.0
198,2018-05-18,62688.0,1592929.0
199,2018-05-21,61835.0,1948176.0
200,2018-05-22,61438.0,1748079.0
201,2018-05-23,61563.0,1925166.0
202,2018-05-24,61812.0,1524748.0
203,2018-05-25,62475.0,1792894.0
204,2018-05-28,62500.0,975956.0
205,2018-05-29,62986.0,1955867.0
206,2018-05-30,62220.0,1862415.0
207,2018-05-31,62575.0,1681092.0
208,2018-06-01,62355.0,1313789.0
209,2018-06-04,62169.0,1080434.0
210,2018-06-05,62259.0,1642017.0
211,2018-06-06,61876.0,1413223.0
212,2018-06-07,62521.0,1735335.0
213,2018-06-08,62375.0,1994367.0
214,2018-06-09,62584.0,260083.0
215,2018-06-11,63465.0,31608.0
216,2018-06-13,63167.0,122158.0
