,Date,Rests
200,2018-12-10,2516.4
201,2018-12-07,2530.3
202,2018-12-06,2526.5
203,2018-12-05,1648.8
204,2018-12-04,1677.9
205,2018-12-03,2020.6
206,2018-11-30,2171.6
207,2018-11-29,2214.4
208,2018-11-28,1957.5
209,2018-11-27,1664.1
210,2018-11-26,2288.8
211,2018-11-23,2251.5
212,2018-11-22,2216.8
213,2018-11-21,2299.2
214,2018-11-20,2245.6
215,2018-11-19,2593.2
216,2018-11-16,2534.1
217,2018-11-15,2707.6
218,2018-11-14,2598.1
219,2018-11-13,2501.9
220,2018-11-12,2462.1
221,2018-11-09,2489.2
222,2018-11-08,2395.6
223,2018-11-07,1571.2
224,2018-11-06,1376.1
225,2018-11-02,1968.5
226,2018-11-01,2077.5
227,2018-10-31,2277.1
228,2018-10-30,2168.0
229,2018-10-29,2311.9
230,2018-10-26,2161.6
231,2018-10-25,2888.9
232,2018-10-24,2666.7
233,2018-10-23,2622.2
234,2018-10-22,2696.9
235,2018-10-19,2558.3
236,2018-10-18,2623.1
237,2018-10-17,2496.3
238,2018-10-16,2496.2
239,2018-10-15,2570.7
240,2018-10-12,2461.3
241,2018-10-11,2516.9
242,2018-10-10,9708.0
243,2018-10-09,1678.5
244,2018-10-08,1762.2
245,2018-10-05,1632.0
246,2018-10-04,1611.4
247,2018-10-03,2187.3
248,2018-10-02,2005.9
