,Date,ofz,t10,spread
0,2019-01-17,4.7523669220795,2.75,2.0023669220795
1,2019-01-16,4.7503666180344,2.727,2.0233666180344003
2,2019-01-15,4.8116939923363,2.718,2.0936939923363003
3,2019-01-14,4.816202898407,2.7060000000000004,2.1102028984069996
4,2019-01-11,4.799565643954401,2.699,2.1005656439544014
5,2019-01-10,4.803760467126401,2.7460000000000004,2.0577604671264007
6,2019-01-09,4.7900627890295,2.7119999999999997,2.0780627890295005
7,2019-01-08,4.8209954143112,2.73,2.0909954143112004
8,2019-01-04,4.8342762596084015,2.668,2.1662762596084013
9,2019-01-03,4.881086851589901,2.552,2.3290868515899006
10,2018-12-28,4.8855937350702,2.716,2.1695937350702
11,2018-12-27,4.8882032930112,2.7739999999999996,2.1142032930112005
12,2018-12-26,4.9140081834854,2.81,2.1040081834854
13,2018-12-25,4.9158240618586,2.7510000000000003,2.1648240618585994
14,2018-12-24,4.923296508063999,2.736,2.1872965080639992
15,2018-12-21,4.9464642516262005,2.7880000000000003,2.1584642516262003
16,2018-12-20,4.983317676056299,2.8080000000000003,2.175317676056299
17,2018-12-19,5.021195005673,2.762,2.2591950056730004
18,2018-12-18,5.0089403747782,2.823,2.1859403747782005
19,2018-12-17,5.0351905224456,2.8569999999999998,2.1781905224456
20,2018-12-14,5.0052413243592,2.895,2.1102413243591998
21,2018-12-13,5.026729045976,2.9130000000000003,2.113729045976
22,2018-12-12,5.0196517580412,2.911,2.1086517580412
23,2018-12-11,5.0414923582517,2.8789999999999996,2.1624923582517006
24,2018-12-10,5.0351717041852995,2.863,2.1721717041852995
25,2018-12-07,5.0464476534745994,2.858,2.1884476534745994
26,2018-12-06,5.0656270983678,2.892,2.1736270983678003
27,2018-12-05,5.0421404726895,2.917,2.1251404726895
28,2018-12-04,5.0321539498237,2.915,2.1171539498236998
29,2018-12-03,5.030526469252299,2.966,2.064526469252299
30,2018-11-30,5.1475065450782,2.9930000000000003,2.1545065450782
31,2018-11-29,5.1285558329455005,3.032,2.0965558329455005
32,2018-11-28,5.1627195009332,3.0610000000000004,2.1017195009331995
33,2018-11-27,5.1815733274983,3.0589999999999997,2.1225733274983
34,2018-11-26,5.167016170426701,3.0589999999999997,2.108016170426701
35,2018-11-23,5.0747566637929,3.0460000000000003,2.0287566637928993
36,2018-11-22,5.0684875231921005,3.065,2.0034875231921006
37,2018-11-21,5.0956154707774,3.065,2.0306154707774
38,2018-11-20,5.0923506332422,3.0610000000000004,2.0313506332421993
39,2018-11-19,5.078456748691,3.063,2.0154567486909998
40,2018-11-16,5.0988908899454,3.065,2.0338908899454
41,2018-11-15,5.061769109487599,3.11,1.9517691094875995
42,2018-11-14,5.128561808976901,3.127,2.001561808976901
43,2018-11-13,5.1438471018184,3.142,2.0018471018184
44,2018-11-12,5.120757268680099,3.1510000000000002,1.9697572686800986
45,2018-11-09,5.1195032273802,3.1860000000000004,1.9335032273801995
46,2018-11-08,5.075508658459901,3.239,1.836508658459901
47,2018-11-07,5.0375019516481,3.237,1.8005019516480996
48,2018-11-06,5.0450784897158,3.2310000000000003,1.8140784897157993
49,2018-11-02,5.0032813112918,3.22,1.7832813112917996
50,2018-11-01,5.0296930604763,3.134,1.8956930604763005
51,2018-10-31,5.044552744749501,3.1489999999999996,1.895552744749501
52,2018-10-30,5.0477201329560994,3.1189999999999998,1.9287201329560997
53,2018-10-29,5.039293761436099,3.089,1.950293761436099
54,2018-10-26,5.0417460948082,3.077,1.9647460948082003
55,2018-10-25,5.044548690849901,3.1260000000000003,1.9185486908499003
56,2018-10-24,5.0396467193828,3.111,1.9286467193827996
57,2018-10-23,5.0762934270219,3.1710000000000003,1.9052934270219
58,2018-10-22,5.045060606523301,3.2,1.845060606523301
59,2018-10-19,5.0313864027754,3.196,1.8353864027753999
60,2018-10-18,5.0385989024363,3.177,1.8615989024363002
61,2018-10-17,5.0351407182789,3.207,1.8281407182788998
62,2018-10-16,5.0474391404864,3.1630000000000003,1.8844391404863998
63,2018-10-15,5.056120636735799,3.156,1.900120636735799
64,2018-10-12,5.0314091372015,3.167,1.8644091372015001
65,2018-10-11,5.0565101395514995,3.1460000000000004,1.9105101395514992
66,2018-10-10,5.0604842079789005,3.174,1.8864842079789006
67,2018-10-09,5.0553786794499,3.2060000000000004,1.8493786794498996
68,2018-10-08,5.051892562912099,3.2310000000000003,1.8208925629120984
69,2018-10-05,5.0205789881542,3.233,1.7875789881541997
70,2018-10-04,4.8715984250940005,3.187,1.6845984250940007
71,2018-10-03,4.889318800045501,3.181,1.7083188000455012
72,2018-10-02,4.900130249646,3.0610000000000004,1.8391302496459994
73,2018-10-01,4.8950591704902,3.0860000000000003,1.8090591704901993
74,2018-09-28,4.9202964128537,3.065,1.8552964128537002
75,2018-09-27,4.9489795854865,3.055,1.8939795854864996
76,2018-09-26,5.0078153533354,3.048,1.9598153533354
77,2018-09-25,5.0458654266253005,3.0980000000000003,1.9478654266253002
78,2018-09-24,5.1114305934509,3.089,2.0224305934509004
79,2018-09-21,5.053785318063401,3.0669999999999997,1.9867853180634012
80,2018-09-20,5.075999928947099,3.0639999999999996,2.0119999289470996
81,2018-09-19,5.0933127276778,3.0660000000000003,2.0273127276777996
82,2018-09-18,5.0800748690592,3.057,2.0230748690592004
83,2018-09-17,5.0781501119513,2.9939999999999998,2.0841501119513
84,2018-09-14,5.0707805090512,2.9989999999999997,2.0717805090512007
85,2018-09-13,5.0596319253485,2.9739999999999998,2.0856319253485
86,2018-09-12,5.0823895034312,2.965,2.1173895034312
87,2018-09-11,5.112833622317201,2.9810000000000003,2.1318336223172003
88,2018-09-10,5.0568313813945,2.935,2.1218313813945
89,2018-09-07,4.8989980512901,2.9389999999999996,1.9599980512901003
90,2018-09-06,4.927786411138,2.878,2.049786411138
91,2018-09-05,4.8691586854762,2.904,1.9651586854762
