,Release Date,Actual
0,2019-03-22,7.75
1,2019-02-08,7.75
2,2018-12-14,7.75
3,2018-10-26,7.5
4,2018-09-14,7.5
5,2018-07-27,7.25
6,2018-06-15,7.25
7,2018-04-27,7.25
